title,description,year,genre,type,cover_image
OVERLORD: The Sacred Kingdom,"After twelve years of playing his favorite MMORPG game, Momonga logs in for the last time only to find himself transported into its world playing it indefinitely. Throughout his adventures, his avatar ascends to the title of Sorcerer King Ains Ooal Gown. Once prosperous but now on the brink of ruin, The Sacred Kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions. But, one day this comes to an end when the Demon Emperor Jaldabaoth arrives with an army of villainous demi-humans. Fearing invasion of their own lands, the neighboring territory of the Slane Theocracy is forced to beg their enemies at the Sorcerer Kingdom for help. Heeding the call, Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor.",2024,"Action, Adventure, Animation, Fantasy",Movie,https://image.tmdb.org/t/p/w500//fggkIB6oeVi5Mpwl0fALLVevAFN.jpg
Kill 'em All 2,"Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabout are discovered by Vlad the vengeful brother of their target from the first film.",2024,"Action, Crime",Movie,https://image.tmdb.org/t/p/w500//wCESzMHGkQoVTUNCpH72zuIewWH.jpg
Uglies,"In a futuristic dystopia with enforced beauty standards, a teen awaiting mandatory cosmetic surgery embarks on a journey to find her missing friend.",2024,"Science Fiction, Adventure, Action",Movie,https://image.tmdb.org/t/p/w500//jaUu9zHtbcFwrB5Y1DNYE09HMex.jpg
Wonderful Days,"Civilization has been destroyed by war and pollution, but the survivors have built the last city of Ecoban. As most natural resources have been exhausted, Ecoban is powered by pollution. The citizens of Ecoban need to continue creating this pollution leading them into conflict with the inhabitants of Marr while one man just wants to clear away the clouds and see the sky.",2003,"Animation, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//jpf0sxtj2OrzTi1IBTfECtHIG7k.jpg
Late Night with the Devil,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",2024,Horror,Movie,https://image.tmdb.org/t/p/w500//mu8LRWT9GHkfiyHm7kgxT6YNvMW.jpg
"Miraculous World: Paris, Tales of Shadybug and Claw Noir","Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",2023,"Animation, Adventure, Action, Fantasy, Family",Movie,https://image.tmdb.org/t/p/w500//7Md3nuV0ZprBTnkdR3OrUCEsrSP.jpg
The Smoke Master,"The journey of Gabriel and Daniel, two brothers cursed by the Chinese mafia with its feared Three Generations Revenge, who have already reaped the life of their grandfather and their father. To survive, one of the brothers must learn the Smoke Style secrets, a little known Cannabis martial art, taught by a single master, high up in the mountains.",2023,"Action, Comedy, Fantasy",Movie,https://image.tmdb.org/t/p/w500//mg6YkwftQOJjpT2ygYlCi11LWeC.jpg
Freddy's Fridays,"A detective begins to investigate a series of mysterious murders that are connected to a demonic book that brings dolls to life. As the body count begins to rise, the detective soon learns the curse of the demonic Friday and must find a way to stop it before any others disappear.",2023,Horror,Movie,https://image.tmdb.org/t/p/w500//8smsOtjp8FbBgL8YKrgCADJWEhe.jpg
Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2024,"Action, Science Fiction, Adventure",Movie,https://image.tmdb.org/t/p/w500//aosm8NMQ3UyoBVpSxyimorCQykC.jpg
House of Ga'a,"At the height of the Oyo Empire, the ferocious Bashorun Ga'a became more powerful than the kings he enthroned, only to be undone by his own blood.",2024,"Action, History",Movie,https://image.tmdb.org/t/p/w500//6yK9hmS641NMwRkR1wWAALWI34t.jpg
Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",2015,"Animation, Family, Adventure, Drama, Comedy",Movie,https://image.tmdb.org/t/p/w500//2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
